species,species_id_method,strain,isotype,previous_names,release,source_lab,latitude,longitude,landscape,locality_description,substrate,substrate_comments,substrate_temp,ambient_temp,ambient_humidity,associated_organism,inbreeding_state,sampled_by,isolated_by,sampling_date,sampling_date_comments,notes,set,issues,issue_notes,isotype_ref_strain,wgs_seq,flag_sampled_by_is_email_address,flag_isolated_by_is_email_address,flag_species_not_in_target_species,flag_unusual_substrate_class,flag_unusual_landscape_class
Caenorhabditis elegans,ITS2,ECA2938,,S-14057,,ECA,22.134227,-159.6502182,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16.3,17.5,85.4,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2939,,S-14058,,ECA,22.133915,-159.6504496,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",17,17.5,84.5,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2940,,S-14059,,ECA,22.133915,-159.6504496,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",17,17.5,84.5,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2941,,S-14060,,ECA,22.133915,-159.6504496,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",17,17.5,84.5,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2942,,S-14101,,ECA,22.1329535,-159.645971524288,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16.7,17.5,86.3,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2943,,S-14102,,ECA,22.1324356999982,-159.646279,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16.9,17.5,85.6,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2944,,S-14103,,ECA,22.1313576,-159.6459345,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_flower,"",16.4,17.5,85.1,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2945,,S-14105,,ECA,22.1330096999978,-159.6515086,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",15.7,16.8,85.8,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2946,,S-14106,,ECA,22.1330096999978,-159.6515086,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",15.7,16.8,85.8,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2947,,S-14108,,ECA,22.1324356999982,-159.646279,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16.9,17.5,85.6,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2948,,S-14109,,ECA,22.133224699998,-159.645810900002,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",17.3,18.2,85.4,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2949,,S-14110,,ECA,22.1321096,-159.646224700001,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",17.5,17.5,85.1,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2950,,S-14111,,ECA,22.1321096,-159.646224700001,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",17.5,17.5,85.1,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2951,,S-14112,,ECA,22.1329535,-159.645971524288,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16.7,17.5,86.3,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2952,,S-14115,,ECA,22.1324265,-159.651638,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16,17.1,83,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2953,,S-14117,,ECA,22.1337201000021,-159.6507235,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16.8,17.5,85.1,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis tropicalis,ITS2,ECA2954,,S-14119,,ECA,22.0638967,-159.3522759,Forest,Kauai,Rotting_nut/pod/seed/fruit,"",21.6,22.3,80.5,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis tropicalis,ITS2,ECA2955,,S-14120,,ECA,22.0638967,-159.3522759,Forest,Kauai,Rotting_nut/pod/seed/fruit,"",21.6,22.3,80.5,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2956,,S-14145,,ECA,22.1332207000022,-159.651282599998,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16,16.8,84.9,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2957,,S-14146,,ECA,22.1332207000022,-159.651282599998,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16,16.8,84.9,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2958,,S-14147,,ECA,22.1332207000022,-159.651282599998,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16,16.8,84.9,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2959,,S-14151,,ECA,22.1337201000021,-159.6507235,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16.8,17.5,85.1,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2960,,S-14152,,ECA,22.1337201000021,-159.6507235,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16.8,17.5,85.1,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2961,,S-14153,,ECA,22.1337201000021,-159.6507235,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16.8,17.5,85.1,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2962,,S-14154,,ECA,22.1342580999984,-159.649639,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16,16.8,86.8,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2963,,S-14155,,ECA,22.1342580999984,-159.649639,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16,16.8,86.8,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2964,,S-14156,,ECA,22.1342580999984,-159.649639,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16,16.8,86.8,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2965,,S-14158,,ECA,22.1326106999991,-159.6516852,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",15.4,16.8,82.4,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2966,,S-14169,,ECA,22.132495,-159.6516514,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",15.7,17.5,83.8,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2967,,S-14180,,ECA,22.1343040999986,-159.649570299998,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",15.8,17.5,88.8,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2968,,S-14182,,ECA,22.1313576,-159.6459345,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_flower,"",16.4,17.5,85.1,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2969,,S-14184,,ECA,22.133224699998,-159.645810900002,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",17.3,18.2,85.4,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2970,,S-14185,,ECA,22.1346145,-159.649441694169,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16.5,17.5,86.3,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2971,,S-14186,,ECA,22.1346145,-159.649441694169,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16.5,17.5,86.3,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2972,,S-14187,,ECA,22.1346145,-159.649441694169,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16.5,17.5,86.3,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2973,,S-14188,,ECA,22.1346145,-159.649441694169,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16.5,17.5,86.3,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2974,,S-14189,,ECA,22.1342580999984,-159.649639,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16,16.8,86.8,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis briggsae,ITS2,ECA2975,,S-14190,,ECA,22.0638967,-159.3522759,Forest,Kauai,Rotting_nut/pod/seed/fruit,"",21.6,22.3,80.5,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis tropicalis,ITS2,ECA2976,,S-14191,,ECA,22.0638967,-159.3522759,Forest,Kauai,Rotting_nut/pod/seed/fruit,"",21.6,22.3,80.5,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2977,,S-14192,,ECA,22.1346683000019,-159.6493468,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16.6,17.5,85.4,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2978,,S-14193,,ECA,22.1343040999986,-159.649570299998,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",15.8,17.5,88.8,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2979,,S-14195,,ECA,22.1343040999986,-159.649570299998,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",15.8,17.5,88.8,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2980,,S-14196,,ECA,22.1343040999986,-159.649570299998,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",15.8,17.5,88.8,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2981,,S-14227,,ECA,22.1324265,-159.651638,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16,17.1,83,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2982,,S-14232,,ECA,22.132495,-159.6516514,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",15.7,17.5,83.8,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2983,,S-14233,,ECA,22.1323196,-159.651734699999,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",15.9,16.8,83.3,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2984,,S-14234,,ECA,22.1324265,-159.651638,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16,17.1,83,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2985,,S-14235,,ECA,22.1323196,-159.651734699999,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",15.9,16.8,83.3,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2986,,S-14248,,ECA,20.727411,-156.307311700002,Forest,Maui,Rotting_flower,"",11.3,12,86.9,,,E. Andersen,R. Tanny,2021-10-16,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2987,,S-14256,,ECA,22.1325,-159.6516315,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",15.7,18.2,84.9,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2988,,S-14261,,ECA,22.132461399998,-159.6516555,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16,18.2,80.5,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2989,,S-14262,,ECA,22.132461399998,-159.6516555,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16,18.2,80.5,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2990,,S-14263,,ECA,22.132461399998,-159.6516555,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",16,18.2,80.5,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2991,,S-14274,,ECA,22.132495,-159.6516514,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_nut/pod/seed/fruit,"",15.7,17.5,83.8,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2992,,S-14282,,ECA,22.1312732,-159.6459512,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_flower,"",16.4,17.5,84.4,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
Caenorhabditis elegans,ITS2,ECA2993,,S-14285,,ECA,22.131318299999,-159.645913700001,Forest,"Pu'u Ka Ohelo Berry Flat Trail, Kauai, Pu'u Ka Ohelo Berry Flat Trail",Rotting_flower,"",16.5,18.2,83.9,,,E. Andersen,R. Tanny,2021-10-18,,Fulcrum collection 2021OctoberHawaii,,,,,,TRUE,TRUE,FALSE,FALSE,FALSE
